firm_name,date_published,register_consulted,lookup_date,udyam_verified,iec_verified,cres_verified,manufacturer_vs_merchant
Castlerock Fisheries,06/28/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Castlerock Fisheries Pvt Ltd.,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Cham Ice and Cold Storage,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Cherukattu Industries (Marine Division),09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Choice Canning Company Unit III,05/02/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Choice trading corporation PVT. LTD,04/11/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Coastal Aqua Private Limited,07/21/2017,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Coastal Corporation Limited - Unit 2,10/23/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Coastal Corporation Ltd Unit III,07/24/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Coastal Corporation Ltd.,07/18/2011,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Cochin Frozen Food Exports,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Cofoods Processors Private Limited,02/21/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
"Coir Trading C.,  Pvt Ltd",09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Crystal Sea Foods Private Limited,05/02/2018,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
DEVI FISHERIES LIMITED,07/22/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
DWARAKA SEAFOODS,11/19/2024,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Devi Fisheries Limited,10/16/2018,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Devi Fisheries Limited - Unit 4,11/17/2021,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Devi Fisheries Limited II,12/02/2012,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Devi Fisheries Limited-Unit 3,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
