firm_name,date_published,register_consulted,lookup_date,udyam_verified,iec_verified,cres_verified,manufacturer_vs_merchant
Penver Products Limited,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Premier Exports International,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
RDR EXPORTS,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
RVR MARINE PRODUCTS LTD,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Ram's Assorted Cold Storage Limited,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Rank Industries,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
"Ravi Fisheries, Ltd.",09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Razban Seafood Pvt Ltd,12/07/2017,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Royal Imports & Exports,08/09/2019,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Royal Oceans,04/06/2021,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Royale Marine Impex Pvt. Ltd.,01/18/2024,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
S.A. Exports,01/24/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
SADAF SEA FOODS,05/26/2020,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
"SAGAR GRANDHI EXPORTS (P) LTD., UNIT- II",09/04/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
SAI MARINE EXPORTS PRIVATE,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
SANDHYA AQUA EXPORTS PVT LTD,06/23/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
SANDHYA MARINES LIMITED,07/13/2026,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
SNOW WORLD MARINE EXPORTS PRIVATE LIMITED,09/02/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
SOUTHERN TROPICAL FOODS PVT LTD,09/19/2017,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
SPRINT EXPORTS PRIVATE LIMITED,11/04/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
SPRINT EXPORTS PVT LTD,02/25/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
"SRI SAKKTHI COLD STOREGE PVT. LTD., ( UNIT 1 )",09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
SSF LIMITED,10/22/2018,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Sagar Grandhi Exports Pvt Ltd,06/29/2018,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Sai Marine Exports Private Limited-Unit II,07/28/2021,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Sam Aqua Exports,04/28/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Sanchita Marine Products Pvt. Ltd.,03/11/2021,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Sandhya Aqua Exports Pvt Ltd Unit 2,12/10/2020,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Sandhya Aqua Exports Pvt.Ltd.,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Sandhya Marines,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Sandhya Marines Limited Unit 1,10/09/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Sandhya Marines Limited Unit 2,03/23/2015,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Seasaga Enterprises Pvt.Ltd,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
"Sharat Industries, Limited",11/21/2022,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Shimpo Exports Pvt Ltd,05/13/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Shree Datt Aquaculture Farms,12/03/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Sigma Seafoods,01/03/2024,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Sreeragam Exports Pvt. Ltd.,06/26/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Sri Sakkthi Cold Storage Pvt.Ltd.,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Star Agro Marine Exports Private Limited,05/01/2012,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Summit Marine Exports Private Limited,07/16/2026,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Suryamitra Exim PVT Ltd.,02/28/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Suryamitra Exim Pvt Ltd,09/23/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
THEVA & CO,02/27/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
The Waterbase Limited,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Torry Harris Seafood Ltd.,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Triveni Food Products Pvt Ltd.,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Uniroyal Marine Exports Limited,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Unitriveni Overseas,11/15/2016,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
V. V. MARINE PRODUCTS,02/04/2016,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
VARMA MARINE PRIVATE LIMITED,07/31/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Vasista Marine,09/18/2013,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Veejay Impex,03/26/2010,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Veerabhadra Exports,08/03/2016,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Veerabhadra Exports Private Limited,03/08/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Victoria Marine Marine & Agro Exports Ltd.,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Vinner Marine,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Voltas International Ltd,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
WELLCOME FISHERIES LIMITED,08/29/2012,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
West Coast Frozen Foods Private Limited,05/04/2011,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
West Coast Frozen Foods Private Limited - UNIT II,04/25/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Z.A. Sea Foods,12/04/2014,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Zeal Aqua Limited,07/27/2021,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
konark aquatics & exports private limited,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
star agro marine exports pvt ltd,05/01/2012,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
