firm_name,source_alert,date_published,register_consulted,lookup_date,firm_type_manufacturer_vs_merchant,tier_status
07 - - - --,99-19,12/23/2021,,,,
24 - - - --,99-19,12/23/2021,,,,
28 - - - --,99-19,12/23/2021,,,,
A. B. INDUSTRIES,99-19,09/16/2009,,,,
AABHAR INTERNATIONAL,99-19,09/16/2009,,,,
AAKASH GLOBAL FOODS PVT.LTD.,99-19,01/08/2013,,,,
ABHAYA EXPORTS (PVT) LTD.,99-19,01/26/2024,,,,
ABHAYA EXPORTS PVT. LTD.,99-19,09/07/2016,,,,
Accelerated Freeze Drying Company Limited (Unit 2),16-35,01/18/2024,,,,
ADANI FOOD PRODUCTS PVT LTD,99-19,10/02/2009,,,,
ADARSH GLOBAL LIMITED,99-19,09/16/2009,,,,
ADF Foods Limited,99-19,09/16/2009,,,,
AG EXPORTS,99-19,09/16/2009,,,,
AGRONIC FOOD PVT. LTD,99-19,03/13/2019,,,,
AKSHAR IMPEX,99-19,01/08/2021,,,,
Akshay Food Impex Pvt. Ltd.,16-35,05/30/2019,,,,
Alashore Marine Exports,16-35,01/10/2017,,,,
Albys Agro Pvt. Ltd.,16-35,02/05/2021,,,,
Allana Investments & Trading Co. (Factory Plant 208),16-35,09/18/2009,,,,
ALPHA MARINE,16-35,09/13/2017,,,,
ALPHA MARINE LIMITED,16-35,11/12/2025,,,,
Amalgam Foods c/o M/s Kallinga Marine & Transport Pvt Ltd,16-35,09/18/2009,,,,
AMBE NS Agro Products Pvt Ltd,99-19,05/18/2026,,,,
Amira Tanna Industries Private Limited,99-19,12/07/2010,,,,
Amison Foods Limited,16-35,08/30/2023,,,,
amrutha exports,99-19,09/16/2009,,,,
Ananda Foods,16-35,09/18/2009,,,,
Ancient Greenfields,99-19,05/13/2016,,,,
Anil & Company,99-19,10/19/2016,,,,
ANJANEYA SEA FOODS,16-35,06/05/2018,,,,
Anna Aluminium Company Pvt Ltd (Spices Division),99-19,10/31/2013,,,,
Aparna Marine Exports,16-35,11/16/2023,,,,
APEX FROZEN FOODS LIMITED,16-35,09/08/2020,,,,
Apex Frozen Foods Pvt Ltd,16-35,12/17/2012,,,,
AQUATECH FEED & SEAFOODS PRIVATE LIMITED,16-35,04/06/2026,,,,
Aquatica Frozen Foods Global Pvt. Ltd.,16-35,05/03/2017,,,,
Arise Exports Pvt Ltd,99-19,09/16/2009,,,,
Arya Sea Foods Private Limited,16-35,07/24/2017,,,,
Aryan Food Ingredients Limited,99-19,04/03/2026,,,,
ASIAN FOOD INDUSTRIES,99-19,09/16/2009,,,,
Asvini Fisheries,16-35,09/18/2009,,,,
Asvini Fisheries Private Limited,16-35,01/17/2017,,,,
Atlantic Foods India Private Limited,99-19,09/16/2009,,,,
Authentic Overseas,99-19,07/01/2019,,,,
AVANTI FROZEN FOODS PRIVATE LIMITED,16-35,07/01/2016,,,,
Avtar Singh & Co Private Ltd (Factory),99-19,09/16/2009,,,,
Avtar Singh & Co Pvt Ltd (Office),99-19,09/16/2009,,,,
Ayshwarya Sea Food Private Limited,16-35,09/18/2009,,,,
B B Estates & Exports Pvt. Ltd,16-35,05/02/2018,,,,
B-ONE BUSINESS HOUSE PVT. LTD.,16-35,07/16/2019,,,,
B.C. Exports,99-19,09/16/2009,,,,
BABY MARINE PRODUCTS,16-35,09/18/2009,,,,
BADSHAH MASALA PRIVATE LIMITED,99-19,10/22/2024,,,,
Bafna Enterprises,99-19,04/20/2011,,,,
Balaji Bio Tech Limited,16-35,09/18/2009,,,,
Balaji Seafoods Exports (India) Ltd.,16-35,09/18/2009,,,,
Balaji Wafers Pvt Ltd,99-19,02/13/2025,,,,
BARAKA OVERSEAS TRADERS,16-35,09/18/2009,,,,
BASU INTERNATIONAL UNIT V,16-35,02/10/2025,,,,
BHRIGU FOODS LLP,99-19,02/12/2024,,,,
BIKAJI FOODS INTERNATIONAL LIMITED,99-19,06/27/2022,,,,
Bikaji Foods International Ltd.,99-19,09/09/2016,,,,
BIKANERVALA FOODS P LTD,99-19,02/02/2012,,,,
BIKANERVALA FOODS PVT. LTD.,99-19,07/31/2017,,,,
Bluepark Seafoods (PVT) Ltd.,16-35,10/23/2009,,,,
BMR Industries Private Limited,16-35,12/15/2015,,,,
Brahmins Foods India Private Ltd,99-19,07/16/2013,,,,
Brahmins Foods India Pvt. Ltd.,99-19,10/30/2013,,,,
BRC MARINE PRODUCTS,16-35,11/10/2025,,,,
Brilliant Exports,16-35,09/18/2009,,,,
BVeg Foods Pvt. Ltd.,99-19,12/30/2024,,,,
Calcutta Seafoods Pvt. Ltd,16-35,09/18/2009,,,,
Capithan Exporting Company,16-35,05/10/2016,,,,
Castlerock Fisheries,16-35,06/28/2023,,,,
Castlerock Fisheries Pvt Ltd.,16-35,09/18/2009,,,,
Cham Ice and Cold Storage,16-35,09/18/2009,,,,
CHARMINAR FOODS & EXPORTS PVT LTD,99-19,03/20/2015,,,,
Charminar Foods & Exports Pvt Ltd.,99-19,10/17/2014,,,,
Cherukattu Industries (Marine Division),16-35,09/18/2009,,,,
CHOICE CANNING COMPANY,16-35,09/18/2009,,,,
Choice Canning Company Unit III,16-35,05/02/2023,,,,
Choice trading corporation PVT. LTD,16-35,04/11/2025,,,,
CM Tech & Traders,99-19,04/24/2017,,,,
Coastal Aqua Private Limited,16-35,07/21/2017,,,,
Coastal Corporation Limited - Unit 2,16-35,10/23/2013,,,,
Coastal Corporation Ltd Unit III,16-35,07/24/2023,,,,
Coastal Corporation Ltd.,16-35,07/18/2011,,,,
Cochin Frozen Food Exports,16-35,09/18/2009,,,,
Cofoods Processors Private Limited,16-35,02/21/2023,,,,
"Coir Trading C.,  Pvt Ltd",16-35,09/18/2009,,,,
CORLIM MARINE EXPORTS PVT.LTD.,16-35,10/18/2019,,,,
Crystal Sea Foods Private Limited,16-35,05/02/2018,,,,
CUCKU ENTERPRISES PVT. LTD.,99-19,11/19/2013,,,,
"Curry Powder, without Salt",99-19,06/21/2017,,,,
DAKSH FOODS PVT LTD,99-19,07/17/2013,,,,
DEMOLEN EXPORT PRIVATE LTD.,99-19,02/19/2016,,,,
DEMOLEN EXPORTS PVT LTD,99-19,09/16/2009,,,,
Devi Exports Pvt Ltd,99-19,01/21/2011,,,,
DEVI FISHERIES LIMITED,16-35,10/16/2018,,,,
Devi Fisheries Limited - Unit 4,16-35,11/17/2021,,,,
Devi Fisheries Limited II,16-35,12/02/2012,,,,
Devi Fisheries Limited-Unit 3,16-35,09/18/2009,,,,
Devi Marine Food Exports Ltd.,16-35,09/18/2009,,,,
Devi Sea Foods Limited,16-35,09/18/2009,,,,
Devi Seafoods Limited,16-35,09/18/2009,,,,
Dharya Enterprise,99-19,12/05/2023,,,,
DIVINE GROCERIES PVT. LTD.,99-19,02/28/2018,,,,
DWARAKA SEAFOODS,16-35,11/19/2024,,,,
Eastern Condiments Pvt Ltd,99-19,09/16/2009,,,,
Eastern Condiments Pvt. Ltd,99-19,09/16/2009,,,,
EcoFarms (India) Ltd,99-19,07/18/2017,,,,
Edhayam Frozen Foods PVT Ltd.,16-35,10/25/2024,,,,
Elite Sea Foods,16-35,09/18/2009,,,,
Empire Spices & Food Ltd,99-19,09/20/2010,,,,
Everest Food Products Private Limited,99-19,04/20/2023,,,,
EVERGREEN EXPORTS,99-19,09/13/2018,,,,
Excellent Fisheries Private Limited,16-35,04/08/2025,,,,
Falcon Marine Exports Ltd.,16-35,11/18/2014,,,,
Falcon Marine Exports Pvt. Ltd.,16-35,07/31/2020,,,,
Farmico Exports,99-19,12/22/2010,,,,
FEDORA SEA FOODS PRIVATE LIMITED,16-35,08/25/2025,,,,
Fernando Intercontinental,16-35,09/18/2009,,,,
Five Star Marine Exports Pvt. Limited,16-35,01/11/2016,,,,
"Forstar Frozen Foods PVT LTD ,UNIT 2",16-35,09/18/2009,,,,
Frontal Agritech Private Limited,99-19,04/15/2014,,,,
G.R.K. and Company,99-19,09/16/2009,,,,
Gadre Marine Export,16-35,11/19/2015,,,,
Ganpati Scientifics,99-19,01/19/2022,,,,
Garden Valley Export Corporation,99-19,06/23/2010,,,,
Gate Foods Private Limited,99-19,12/22/2023,,,,
Gautam Export Corporation,99-19,09/16/2009,,,,
Gayatri Masala Exporter,99-19,09/16/2009,,,,
Geo Aquatic Products(P) Ltd.,16-35,09/18/2009,,,,
GEO Seafoods,16-35,09/29/2009,,,,
Geo-fresh Organic,99-19,09/16/2009,,,,
Ghanshyam Exporter,99-19,09/16/2009,,,,
Giriraj International,99-19,09/16/2009,,,,
GKS Business Associates,16-35,09/18/2009,,,,
Global Exports,99-19,09/16/2009,,,,
