firm_name,source_alert,date_published,register_consulted,lookup_date,firm_type_manufacturer_vs_merchant,tier_status
PRAVIN MASALEWALE,99-19,07/18/2014,,,,
Pravin Masalewale Partnership,99-19,07/18/2014,,,,
Premier Exports International,16-35,09/18/2009,,,,
Premji Bhanji & Co.,99-19,09/16/2009,,,,
PUNAM AGRO FOODS,99-19,06/08/2016,,,,
PureFarms Organic (India),99-19,08/28/2020,,,,
Qik Exports,99-19,09/16/2009,,,,
Quantum Drugs & Chemicals,99-19,09/16/2009,,,,
R.M.TRADING CO.,99-19,05/13/2014,,,,
R.S.LAL INTERNATIONAL,99-19,09/16/2009,,,,
Race Seven Seas,99-19,09/16/2009,,,,
Ram's Assorted Cold Storage Limited,16-35,09/18/2009,,,,
Ramdev Food Products Pvt Ltd,99-19,09/16/2009,,,,
Ramdev Food Products Pvt. Ltd.,99-19,09/16/2009,,,,
Rank Industries,16-35,09/18/2009,,,,
RASA SPICES N FOODS PRIVATE LIMITED,99-19,02/11/2011,,,,
Rasoi Magic,99-19,03/01/2021,,,,
Rasoi Magic Foods (India) Pvt. Ltd.,99-19,03/26/2013,,,,
RAVI EXPORTS,99-19,04/19/2013,,,,
"Ravi Fisheries, Ltd.",16-35,09/18/2009,,,,
Ravi Overseas Pvt Ltd,99-19,09/16/2009,,,,
Ravi Spice Processors Pvt Ltd.,99-19,09/16/2009,,,,
Razban Seafood Pvt Ltd,16-35,12/07/2017,,,,
RDR EXPORTS,16-35,09/18/2009,,,,
Roopak Overscas Pvt Ltd,99-19,06/22/2016,,,,
Royal Imports & Exports,16-35,08/09/2019,,,,
Royal Oceans,16-35,04/06/2021,,,,
Royale Marine Impex Pvt. Ltd.,16-35,01/18/2024,,,,
RVR MARINE PRODUCTS LTD,16-35,09/18/2009,,,,
S. Narendra Kumar & Co.,99-19,06/17/2015,,,,
S.A. Exports,16-35,01/24/2014,,,,
SADAF SEA FOODS,16-35,05/26/2020,,,,
"SAGAR GRANDHI EXPORTS (P) LTD., UNIT- II",16-35,09/04/2013,,,,
Sagar Grandhi Exports Pvt Ltd,16-35,06/29/2018,,,,
SAI MARINE EXPORTS PRIVATE,16-35,09/18/2009,,,,
Sai Marine Exports Private Limited-Unit II,16-35,07/28/2021,,,,
Sakthi Masala Private Limited,99-19,09/16/2009,,,,
SALOMI INTERNATIONAL,99-19,09/16/2009,,,,
Sam Aqua Exports,16-35,04/28/2025,,,,
Sam Enterprises Pvt Ltd,99-19,09/16/2009,,,,
Samasta Foods Pvt. Ltd.,99-19,10/25/2024,,,,
Samsons Trading Co,99-19,09/16/2009,,,,
SAMSONS TRADING CO. PVT. LTD.,99-19,09/16/2009,,,,
Sanchita Marine Products Pvt. Ltd.,16-35,03/11/2021,,,,
SANDHYA AQUA EXPORTS PVT LTD,16-35,06/23/2023,,,,
