firm_name,date_published
MONSUN FOODS PRIVATE LTD,06/23/2017
MOURYA AQUEX PRIVATE LIMITED,06/01/2020
Magnum Estates Limited,11/27/2018
Magnum Export,09/18/2009
Magnum Sea Foods Limited,01/30/2020
"Mangala Marine Exim India Pvt. Ltd, (Unit 2)",08/24/2015
Mangala Marine Exim India Pvt. Ltd. Unit # 1,09/07/2023
Mangala Sea Products,09/18/2009
Mangala Seafoods,10/06/2016
Megaa Moda Pvt. Ltd.,03/08/2019
"Milesh Marine Exports Pvt Ltd.,",01/16/2019
Milesh Marine Exports Pvt. Ltd.,12/20/2019
Milsha Agro Exports Pvt Ltd,04/10/2018
Milsha Sea Product,06/17/2020
"Mindhola Foods, LLP",05/08/2020
Munnangi Seafoods Private Limited,04/11/2014
NEELI AQUA PRIVATE LIMITED,07/01/2016
NEKKANTI MEGA FOOD PARK PRIVATE LIMITED-UNIT#1,07/15/2019
NEKKANTI SEA FOODS LIMITED,10/05/2016
NK Marine Exports LLP,04/04/2025
Naga Hanuman Fish Packers,04/15/2024
Naik Oceanic Export Pvt Ltd,05/13/2020
Nekkanti Sea Foods Limited,04/11/2014
Nekkanti Sea Foods Limited,09/18/2009
Nekkanti Sea Foods Limited,11/21/2016
Nezami Rekha Seafoods Private Limited,08/29/2013
Nila Sea Foods Exports,07/31/2023
Nila Seafoods Pvt. Ltd.,06/01/2015
Oceanic Edible International Ltd,12/19/2013
PADINJARETHALACKAL PLANTATIONS PRIVATE LIMITED,09/18/2009
PENVER PRODUCTS LIMITED,08/30/2019
PENVER PRODUCTS PVT.LTD.,09/18/2009
POYILAKADA FISHERIES PVT LTD,09/18/2009
Pasupati Aquatics Pvt. Ltd.,09/27/2023
Patel Int'L,09/18/2009
Penver Products Limited,09/18/2009
Premier Exports International,09/18/2009
RDR EXPORTS,09/18/2009
RVR MARINE PRODUCTS LTD,09/18/2009
Ram's Assorted Cold Storage Limited,09/18/2009
Rank Industries,09/18/2009
"Ravi Fisheries, Ltd.",09/18/2009
Razban Seafood Pvt Ltd,12/07/2017
Royal Imports & Exports,08/09/2019
Royal Oceans,04/06/2021
Royale Marine Impex Pvt. Ltd.,01/18/2024
S.A. Exports,01/24/2014
SADAF SEA FOODS,05/26/2020
"SAGAR GRANDHI EXPORTS (P) LTD., UNIT- II",09/04/2013
SAI MARINE EXPORTS PRIVATE,09/18/2009
SANDHYA AQUA EXPORTS PVT LTD,06/23/2023
SANDHYA MARINES LIMITED,07/13/2026
SNOW WORLD MARINE EXPORTS PRIVATE LIMITED,09/02/2025
SOUTHERN TROPICAL FOODS PVT LTD,09/19/2017
SPRINT EXPORTS PRIVATE LIMITED,11/04/2013
SPRINT EXPORTS PVT LTD,02/25/2014
"SRI SAKKTHI COLD STOREGE PVT. LTD., ( UNIT 1 )",09/18/2009
SSF LIMITED,10/22/2018
Sagar Grandhi Exports Pvt Ltd,06/29/2018
Sai Marine Exports Private Limited-Unit II,07/28/2021
Sam Aqua Exports,04/28/2025
Sanchita Marine Products Pvt. Ltd.,03/11/2021
Sandhya Aqua Exports Pvt Ltd Unit 2,12/10/2020
Sandhya Aqua Exports Pvt.Ltd.,09/18/2009
Sandhya Marines,09/18/2009
Sandhya Marines Limited Unit 1,10/09/2013
Sandhya Marines Limited Unit 2,03/23/2015
Seasaga Enterprises Pvt.Ltd,09/18/2009
"Sharat Industries, Limited",11/21/2022
Shimpo Exports Pvt Ltd,05/13/2014
Shree Datt Aquaculture Farms,12/03/2014
Sigma Seafoods,01/03/2024
Sreeragam Exports Pvt. Ltd.,06/26/2023
Sri Sakkthi Cold Storage Pvt.Ltd.,09/18/2009
Star Agro Marine Exports Private Limited,05/01/2012
Summit Marine Exports Private Limited,07/16/2026
Suryamitra Exim PVT Ltd.,02/28/2014
Suryamitra Exim Pvt Ltd,09/23/2013
THEVA & CO,02/27/2013
The Waterbase Limited,09/18/2009
Torry Harris Seafood Ltd.,09/18/2009
Triveni Food Products Pvt Ltd.,09/18/2009
Uniroyal Marine Exports Limited,09/18/2009
Unitriveni Overseas,11/15/2016
